sentenca_original,sentenca_processada1,classificacao,sentenca_processada2,sentenca_processada3_1,sentenca_processada3_2,sentenca_processada3_3,sentenca_processada3_4
"A Folha, sempre [tão solícita]P6, só fez juntar os dois desafetos da presidenta (sic) no mesmo saco, para que seus leitores possam identificar [direitinho]P5 quem são os vilões.","A Folha, sempre tão solícita, só fez juntar os dois desafetos da presidenta (sic) no mesmo saco, para que seus leitores possam identificar direitinho quem são os vilões.",1,A Folha sempre tão solícita só fez juntar os dois desafetos da presidenta sic no mesmo saco para que seus leitores possam identificar direitinho quem são os vilões,A Folha sempre tao solicita so fez juntar os dois desafetos da presidenta sic no mesmo saco para que seus leitores possam identificar direitinho quem sao os viloes,A Folha sempre tao solicita fez juntar dois desafetos presidenta sic saco leitores possam identificar direitinho viloes,a folha sempre tao solicita fez juntar dois desafetos presidenta sic saco leitores possam identificar direitinho viloes,a folh sempr tao solicit fez junt doi desafet president sic sac leit poss identific direit vilo
o mensalão não termina no petrolão...,o mensalão não termina no petrolão...,1,o mensalão não termina no petrolão,o mensalao nao termina no petrolao,mensalao termina petrolao,mensalao termina petrolao,mensala termin petrola
"Para a tristeza da extrema-direita e da extrema-esquerda, corrupção não tem cor ideológica, [kkkk]P5","Para a tristeza da extrema-direita e da extrema-esquerda, corrupção não tem cor ideológica, kkkk",1,Para a tristeza da extremadireita e da extremaesquerda corrupção não tem cor ideológica kkkk,Para a tristeza da extremadireita e da extremaesquerda corrupcao nao tem cor ideologica kkkk,Para tristeza extremadireita extremaesquerda corrupcao cor ideologica kkkk,para tristeza extremadireita extremaesquerda corrupcao cor ideologica kkkk,par trist extremadireit extremaesquerd corrupca cor ideolog kkkk
"Enquanto Temer tenta se safar, Cunha dará andamento ao Impeachment... a limpeza da casa começa por esse [""pequeno""]P1 detalhe.","Enquanto Temer tenta se safar, Cunha dará andamento ao Impeachment... a limpeza da casa começa por esse [""pequeno""]P1 detalhe.",1,Enquanto Temer tenta se safar Cunha dará andamento ao Impeachment a limpeza da casa começa por esse pequenoP1 detalhe,Enquanto Temer tenta se safar Cunha dara andamento ao Impeachment a limpeza da casa comeca por esse pequenoP1 detalhe,Enquanto Temer tenta safar Cunha dara andamento Impeachment limpeza casa comeca pequenoP1 detalhe,enquanto temer tenta safar cunha dara andamento impeachment limpeza casa comeca pequenop1 detalhe,enquant tem tent saf cunh dar and impeachment limp cas comec pequenop1 detalh
Que dupla...,Que dupla...,1,Que dupla,Que dupla,Que dupla,que dupla,que dupl
o que será que [Aécinho]P5 Zona Sul fez na noite anterior pra acordar um dia e decidir dar apoio a um golpe perpetrado por uma dupla destas?,o que será que Aécinho Zona Sul fez na noite anterior pra acordar um dia e decidir dar apoio a um golpe perpetrado por uma dupla destas?,1,o que será que Aécinho Zona Sul fez na noite anterior pra acordar um dia e decidir dar apoio a um golpe perpetrado por uma dupla destas,o que sera que Aecinho Zona Sul fez na noite anterior pra acordar um dia e decidir dar apoio a um golpe perpetrado por uma dupla destas,Aecinho Zona Sul fez noite anterior pra acordar dia decidir dar apoio golpe perpetrado dupla destas,aecinho zona sul fez noite anterior pra acordar dia decidir dar apoio golpe perpetrado dupla destas,aec zon sul fez noit anteri pra acord dia decid dar apoi golp perpetr dupl dest
"Façam suas apostas, porque o jogo nunca esteve [tão bom]P6 e emocionante como agora, pelas paragens do planalto central.","Façam suas apostas, porque o jogo nunca esteve tão bom e emocionante como agora, pelas paragens do planalto central.",1,Façam suas apostas porque o jogo nunca esteve tão bom e emocionante como agora pelas paragens do planalto central,Facam suas apostas porque o jogo nunca esteve tao bom e emocionante como agora pelas paragens do planalto central,Facam apostas porque jogo nunca tao bom emocionante agora paragens planalto central,facam apostas porque jogo nunca tao bom emocionante agora paragens planalto central,fac apost porqu jog nunc tao bom emocion agor par planalt centr
O  cruz credo  e a  coisa feia !!!,O  cruz credo  e a  coisa feia !!!,1,O  cruz credo  e a  coisa feia ,O  cruz credo  e a  coisa feia ,O cruz credo coisa feia,o cruz credo coisa feia,o cruz cred cois fei
Vamos nos benzer.,Vamos nos benzer.,1,Vamos nos benzer,Vamos nos benzer,Vamos benzer,vamos benzer,vam benz
Mimi e Cocó.,Mimi e Cocó.,1,Mimi e Cocó,Mimi e Coco,Mimi Coco,mimi coco,mim coc
Melhor deixar tudo com está é?,Melhor deixar tudo com está é?,1,Melhor deixar tudo com está é,Melhor deixar tudo com esta e,Melhor deixar tudo,melhor deixar tudo,melhor deix tud
"Enquanto o pessoal não cria vergonha na cara e não larga a [boquinha]P5, o investimento sai do pais, o desemprego corre solto, o sus continua uma merda, parabéns!!!","Enquanto o pessoal não cria vergonha na cara e não larga a boquinha, o investimento sai do pais, o desemprego corre solto, o sus continua uma merda, parabéns!!!",1,Enquanto o pessoal não cria vergonha na cara e não larga a boquinha o investimento sai do pais o desemprego corre solto o sus continua uma merda parabéns,Enquanto o pessoal nao cria vergonha na cara e nao larga a boquinha o investimento sai do pais o desemprego corre solto o sus continua uma merda parabens,Enquanto pessoal cria vergonha cara larga boquinha investimento sai pais desemprego corre solto sus continua merda parabens,enquanto pessoal cria vergonha cara larga boquinha investimento sai pais desemprego corre solto sus continua merda parabens,enquant pessoal cri vergonh car larg boqu invest sai pal desempreg corr solt su continu merd parab
Golpe plano B?,Golpe plano B?,1,Golpe plano B,Golpe plano B,Golpe plano B,golpe plano b,golp plan b
