index,sentenca_original,sentenca_processada1,classificacao,sentenca_processada2,entidades_nomeadas,adjetivos,triggers,intensifiers,modifiers,quotation_marks,repeated_punctuation,letters_repetition,word_repetition
7,"A Folha, sempre [tão solícita]P6, só fez juntar os dois desafetos da presidenta (sic) no mesmo saco, para que seus leitores possam identificar [direitinho]P5 quem são os vilões.","A Folha, sempre tão solícita, só fez juntar os dois desafetos da presidenta (sic) no mesmo saco, para que seus leitores possam identificar direitinho quem são os vilões.",1,A Folha sempre tão solícita só fez juntar os dois desafetos da presidenta sic no mesmo saco para que seus leitores possam identificar direitinho quem são os vilões,0,1,1,1,1,0,0,0,0
17,o mensalão não termina no petrolão...,o mensalão não termina no petrolão...,1,o mensalão não termina no petrolão,0,0,1,0,1,0,1,0,0
22,"Para a tristeza da extrema-direita e da extrema-esquerda, corrupção não tem cor ideológica, [kkkk]P5","Para a tristeza da extrema-direita e da extrema-esquerda, corrupção não tem cor ideológica, kkkk",1,Para a tristeza da extremadireita e da extremaesquerda corrupção não tem cor ideológica kkkk,0,0,1,0,1,0,0,1,0
23,"Enquanto Temer tenta se safar, Cunha dará andamento ao Impeachment... a limpeza da casa começa por esse [""pequeno""]P1 detalhe.","Enquanto Temer tenta se safar, Cunha dará andamento ao Impeachment... a limpeza da casa começa por esse [""pequeno""]P1 detalhe.",1,Enquanto Temer tenta se safar Cunha dará andamento ao Impeachment a limpeza da casa começa por esse pequenoP1 detalhe,1,0,1,0,1,1,1,0,0
36,Que dupla...,Que dupla...,1,Que dupla,0,0,1,0,0,0,1,0,0
37,o que será que [Aécinho]P5 Zona Sul fez na noite anterior pra acordar um dia e decidir dar apoio a um golpe perpetrado por uma dupla destas?,o que será que Aécinho Zona Sul fez na noite anterior pra acordar um dia e decidir dar apoio a um golpe perpetrado por uma dupla destas?,1,o que será que Aécinho Zona Sul fez na noite anterior pra acordar um dia e decidir dar apoio a um golpe perpetrado por uma dupla destas,0,0,1,0,1,0,0,0,0
49,"Façam suas apostas, porque o jogo nunca esteve [tão bom]P6 e emocionante como agora, pelas paragens do planalto central.","Façam suas apostas, porque o jogo nunca esteve tão bom e emocionante como agora, pelas paragens do planalto central.",1,Façam suas apostas porque o jogo nunca esteve tão bom e emocionante como agora pelas paragens do planalto central,0,1,1,1,1,0,0,0,0
55,O  cruz credo  e a  coisa feia !!!,O  cruz credo  e a  coisa feia !!!,1,O  cruz credo  e a  coisa feia ,0,1,1,0,1,0,1,0,1
56,Vamos nos benzer.,Vamos nos benzer.,1,Vamos nos benzer,0,0,1,0,1,0,0,0,0
61,Mimi e Cocó.,Mimi e Cocó.,1,Mimi e Cocó,1,0,1,0,1,0,0,0,0
74,Melhor deixar tudo com está é?,Melhor deixar tudo com está é?,1,Melhor deixar tudo com está é,0,0,1,0,1,0,0,0,0
