adj_polaridade_positiva,pont_repetida,entidade_nomeada,disparadores,expressoes,letras_repetidas,palavras_repetidas,aspas,intensificadores,modificadores,liwc,rotulo,sentenca
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,Parece estar no Reino da Dinamarca.
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,"Esta conversa pra jornalista sabonete ouvir, é forçada e manipulada."
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,"Que coisa mais corrupta, dentro de um novo pacote de amorização, palavra única que traduz envolver num clima de muito amor."
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Dilma elogiando o Congresso porque votaram?
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pedindo pazes com Temer tipo jardim da infância?
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"O problema deste golpe que existe claramente, é que é um golpismo em série, sempre utilizando uma nova manobra ou macete, uma pedalada pode ser, onde cada ato, cada discurso, cada medida contém uma finalidade que leva a manutenção do cargo."
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,"Aliás, só meia dúzia de gatos pingados da classe média alienada, foram à av paulista e Copacabana fazerem papel de bobos babões."
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,incompetenta.
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Alguém explica pra Pamonha que remédio amargo deve ser dado de uma vez e se quiser fazer reforma trabalhista gradual vai terminar seu mandato sem fazer coisa nenhuma e com o filme mais queimado ainda.
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,Passaremos a amá-la incondicionalmente.
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,"Bem ao contrário do fh, aecin, cunha, temer, queridos de parte da classe média alienada."
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,Nada de irregular? kkkk
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,Os pobres esse ano vão se lascar só do bolsa família são 10 bilhões a menos e a conta de luz está uma maravilha para eles assim como a inflação.
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,Reforma da Previdência gradual é para não ser feita..
