sentenca_original,sentenca_processada1,classificacao
Traidor e ajudante...,Traidor e ajudante...,0
Um  maluco corrupto  se unindo a um  traíra .,Um  maluco corrupto  se unindo a um  traíra .,0
Isso não vai dar certo.,Isso não vai dar certo.,0
"PT e PMDB destruiram a economia do brasil, levaremos anos para nos reerguer novamente, isso depois que esses (impublicável aqui) deixarem o poder","PT e PMDB destruiram a economia do brasil, levaremos anos para nos reerguer novamente, isso depois que esses (impublicável aqui) deixarem o poder",0
O Cunha foi escalado para vilão.,O Cunha foi escalado para vilão.,0
A estratégia do governo é dizer que tudo se resume a uma disputa entre Dilma e Cunha: satanizar o Cunha e limpar a Dilma.,A estratégia do governo é dizer que tudo se resume a uma disputa entre Dilma e Cunha: satanizar o Cunha e limpar a Dilma.,0
"O  Temer  entra de contrapeso, porque ousou confrontar a chefa.","O  Temer  entra de contrapeso, porque ousou confrontar a chefa.",-1
"A Folha, sempre [tão solícita]P6, só fez juntar os dois desafetos da presidenta (sic) no mesmo saco, para que seus leitores possam identificar [direitinho]P5 quem são os vilões.","A Folha, sempre tão solícita, só fez juntar os dois desafetos da presidenta (sic) no mesmo saco, para que seus leitores possam identificar direitinho quem são os vilões.",1
Uma pena que um jornal desça [tão baixo]P6...,Uma pena que um jornal desça tão baixo...,0
Quem não for Militante em Ambientes Virtuais do PT abra o olho...,Quem não for Militante em Ambientes Virtuais do PT abra o olho...,-1
"Não sei qual é a vantagem de dar publicidades a  esses dois políticos , visto que um está prestes a ser cassado por desvios e contas em outros países.","Não sei qual é a vantagem de dar publicidades a  esses dois políticos , visto que um está prestes a ser cassado por desvios e contas em outros países.",0
O outro faz parte do governo e o seu partido tem sete ministros.,O outro faz parte do governo e o seu partido tem sete ministros.,0
A Mídia deveria ajudar o país e não atrapalhar.,A Mídia deveria ajudar o país e não atrapalhar.,0
"Papel higiênico, do mesmo rolo!","Papel higiênico, do mesmo rolo!",-1
É a base do nosso governo.,É a base do nosso governo.,0
papel higiênico simboliza outro governo que serve como molde.,papel higiênico simboliza outro governo que serve como molde.,0
"É aquela história, quem apoia corrupto, tende a ser também, o Cunha é o pior deles...","É aquela história, quem apoia corrupto, tende a ser também, o Cunha é o pior deles...",0
o mensalão não termina no petrolão...,o mensalão não termina no petrolão...,1
"dá-lê Moro, Janot, PF e STF.","dá-lê Moro, Janot, PF e STF.",0
- Afinados?,- Afinados?,-1
...duas pessoas que envergonham a nação!,...duas pessoas que envergonham a nação!,0
"Se juntar mais dois vira quadrilha, vai ser fácil, pois tem pelo menos mais quarenta parlamentares envolvidos no lava jato.","Se juntar mais dois vira quadrilha, vai ser fácil, pois tem pelo menos mais quarenta parlamentares envolvidos no lava jato.",-1
"Para a tristeza da extrema-direita e da extrema-esquerda, corrupção não tem cor ideológica, [kkkk]P5","Para a tristeza da extrema-direita e da extrema-esquerda, corrupção não tem cor ideológica, kkkk",1
"Enquanto Temer tenta se safar, Cunha dará andamento ao Impeachment... a limpeza da casa começa por esse [""pequeno""]P1 detalhe.","Enquanto Temer tenta se safar, Cunha dará andamento ao Impeachment... a limpeza da casa começa por esse [""pequeno""]P1 detalhe.",1
Força Cunha.,Força Cunha.,0
Pobre Brasil!,Pobre Brasil!,0
"Se afastam a Dilma, esses porcos assumem.","Se afastam a Dilma, esses porcos assumem.",0
Acho bem pior!,Acho bem pior!,0
O exemplo vem de cima.,O exemplo vem de cima.,-1
Capitães do Golpe.,Capitães do Golpe.,-1
O golpe é contra o Brasil durante anos (pertencem a base aliada).,O golpe é contra o Brasil durante anos (pertencem a base aliada).,0
Qual o objetivo da aliança?,Qual o objetivo da aliança?,0
"Causa espécie sermos informados de que o  vice-presidente está [""afinado""]P1 com um político com contas secretas no exterior, conforme informado pela Suíça ao Brasil, com recursos inexplicáveis.","Causa espécie sermos informados de que o  vice-presidente está [""afinado""]P1 com um político com contas secretas no exterior, conforme informado pela Suíça ao Brasil, com recursos inexplicáveis.",-1
"Como  ele  pode estar [""afinado""]P1 com um político como o presidente da Câmara?","Como  ele  pode estar [""afinado""]P1 com um político como o presidente da Câmara?",-1
"E dá arrepios pensar na linha de sucessão presidencial: vice-presidente([""afinado""]P1...), presidente do Senado (céus!...), presidente da Câmara (sem comentários).","E dá arrepios pensar na linha de sucessão presidencial: vice-presidente([""afinado""]P1...), presidente do Senado (céus!...), presidente da Câmara (sem comentários).",-1
Deus proteja o Brasil.,Deus proteja o Brasil.,-1
Que dupla...,Que dupla...,1
o que será que [Aécinho]P5 Zona Sul fez na noite anterior pra acordar um dia e decidir dar apoio a um golpe perpetrado por uma dupla destas?,o que será que Aécinho Zona Sul fez na noite anterior pra acordar um dia e decidir dar apoio a um golpe perpetrado por uma dupla destas?,1
"Tá na cara que a população ia se acordar e perceber que há muito, muito, mais muito mais interesse próprio que vontade de melhorar o país.","Tá na cara que a população ia se acordar e perceber que há muito, muito, mais muito mais interesse próprio que vontade de melhorar o país.",0
Barca furada total.,Barca furada total.,0
"O que o  Aécio  fez eu não sei, mas a Dilma comandou o assalto à Petrobrás.","O que o  Aécio  fez eu não sei, mas a Dilma comandou o assalto à Petrobrás.",-1
"Caro pedro Neto, eu também acho que vai acordar, insto é se é que já não acordou.","Caro pedro Neto, eu também acho que vai acordar, insto é se é que já não acordou.",0
"Ai, verá que não se trata de golpe e sim, de impeachment, o que está previsto na lei e será aplicável em casos de presidentes que procedam em descumprimento ao que está estabelecido legalmente.","Ai, verá que não se trata de golpe e sim, de impeachment, o que está previsto na lei e será aplicável em casos de presidentes que procedam em descumprimento ao que está estabelecido legalmente.",0
"será que você não acha, que golpe mesmo é o que aconteceu com a Petrobras, fundos de pensão dos correios e com outras instituições públicas, como: Caixa Econômica, Banco do Brasil e BNDES?","será que você não acha, que golpe mesmo é o que aconteceu com a Petrobras, fundos de pensão dos correios e com outras instituições públicas, como: Caixa Econômica, Banco do Brasil e BNDES?",-1
Então: que deu o golpe?,Então: que deu o golpe?,-1
Muito bom comentário.,Muito bom comentário.,0
O Senador carioca Aecin Zona Sul os merece.,O Senador carioca Aecin Zona Sul os merece.,-1
"Política é um game fascinante, excitante e viciante, pela de disputa de poder, fama e dinheiro, onde cada jogador se compromete apenas com os seus próprios interesses e os de seus aliados, que podem mudar de acordo com a conveniência do jogo.","Política é um game fascinante, excitante e viciante, pela de disputa de poder, fama e dinheiro, onde cada jogador se compromete apenas com os seus próprios interesses e os de seus aliados, que podem mudar de acordo com a conveniência do jogo.",-1
"Os eleitores assemelham-se aos torcedores no futebol, que divertem-se a cada rodada com as vitórias e as derrotas de seu time preferido.","Os eleitores assemelham-se aos torcedores no futebol, que divertem-se a cada rodada com as vitórias e as derrotas de seu time preferido.",-1
"Façam suas apostas, porque o jogo nunca esteve [tão bom]P6 e emocionante como agora, pelas paragens do planalto central.","Façam suas apostas, porque o jogo nunca esteve tão bom e emocionante como agora, pelas paragens do planalto central.",1
Concordo.,Concordo.,0
"O problema neste game é que além de assistir , o povo banca a festa.","O problema neste game é que além de assistir , o povo banca a festa.",-1
Está turma está muito preocupada com o que ainda vem da lava jato.,Está turma está muito preocupada com o que ainda vem da lava jato.,0
Eles querem o poder para destituir o ministro da justiça e silenciar a polícia federal.,Eles querem o poder para destituir o ministro da justiça e silenciar a polícia federal.,0
"Afinal, essas serpentes representam quem?","Afinal, essas serpentes representam quem?",0
O  cruz credo  e a  coisa feia !!!,O  cruz credo  e a  coisa feia !!!,1
Vamos nos benzer.,Vamos nos benzer.,1
Um deles é vice de quem?,Um deles é vice de quem?,-1
São os rotos falando dos rasgados,São os rotos falando dos rasgados,-1
Verdade.,Verdade.,0
