classificacao,sentenca,sentenca_processada1,sentenca_processada2,sentenca_processada3_1,sentenca_processada3_2,sentenca_processada3_3,sentenca_processada3_4
1.0,Parece estar no Reino da Dinamarca.,Parece estar no Reino da Dinamarca.,Parece estar no Reino da Dinamarca,Parece estar no Reino da Dinamarca,Parece estar Reino Dinamarca,parece estar reino dinamarca,parec est rein dinamarc
1.0,"Esta conversa pra jornalista sabonete ouvir, é forçada e manipulada.","Esta conversa pra jornalista sabonete ouvir, é forçada e manipulada.",Esta conversa pra jornalista sabonete ouvir é forçada e manipulada,Esta conversa pra jornalista sabonete ouvir e forcada e manipulada,Esta conversa pra jornalista sabonete ouvir forcada manipulada,esta conversa pra jornalista sabonete ouvir forcada manipulada,est convers pra jornal sabonet ouv forc manipul
1.0,"Que coisa mais corrupta, dentro de um novo pacote de amorização, palavra única que traduz envolver num clima de muito amor.","Que coisa mais corrupta, dentro de um novo pacote de amorização, palavra única que traduz envolver num clima de muito amor.",Que coisa mais corrupta dentro de um novo pacote de amorização palavra única que traduz envolver num clima de muito amor,Que coisa mais corrupta dentro de um novo pacote de amorizacao palavra unica que traduz envolver num clima de muito amor,Que coisa corrupta dentro novo pacote amorizacao palavra unica traduz envolver clima amor,que coisa corrupta dentro novo pacote amorizacao palavra unica traduz envolver clima amor,que cois corrupt dentr nov pacot amorizaca palavr unic traduz envolv clim am
1.0,Dilma elogiando o Congresso porque votaram?,Dilma elogiando o Congresso porque votaram?,Dilma elogiando o Congresso porque votaram,Dilma elogiando o Congresso porque votaram,Dilma elogiando Congresso porque votaram,dilma elogiando congresso porque votaram,dilm elogi congress porqu vot
1.0,pedindo pazes com Temer tipo jardim da infância?,pedindo pazes com Temer tipo jardim da infância?,pedindo pazes com Temer tipo jardim da infância,pedindo pazes com Temer tipo jardim da infancia,pedindo pazes Temer tipo jardim infancia,pedindo pazes temer tipo jardim infancia,ped paz tem tip jardim infanc
1.0,"O problema deste golpe que existe claramente, é que é um golpismo em série, sempre utilizando uma nova manobra ou macete, uma pedalada pode ser, onde cada ato, cada discurso, cada medida contém uma finalidade que leva a manutenção do cargo.","O problema deste golpe que existe claramente, é que é um golpismo em série, sempre utilizando uma nova manobra ou macete, uma pedalada pode ser, onde cada ato, cada discurso, cada medida contém uma finalidade que leva a manutenção do cargo.",O problema deste golpe que existe claramente é que é um golpismo em série sempre utilizando uma nova manobra ou macete uma pedalada pode ser onde cada ato cada discurso cada medida contém uma finalidade que leva a manutenção do cargo,O problema deste golpe que existe claramente e que e um golpismo em serie sempre utilizando uma nova manobra ou macete uma pedalada pode ser onde cada ato cada discurso cada medida contem uma finalidade que leva a manutencao do cargo,O problema deste golpe existe claramente golpismo serie sempre utilizando nova manobra macete pedalada pode ser onde cada ato cada discurso cada medida contem finalidade leva manutencao cargo,o problema deste golpe existe claramente golpismo serie sempre utilizando nova manobra macete pedalada pode ser onde cada ato cada discurso cada medida contem finalidade leva manutencao cargo,o problem dest golp exist cl golp seri sempr utiliz nov manobr macet pedal pod ser ond cad ato cad discurs cad med cont final lev manutenca carg
1.0,"Aliás, só meia dúzia de gatos pingados da classe média alienada, foram à av paulista e Copacabana fazerem papel de bobos babões.","Aliás, só meia dúzia de gatos pingados da classe média alienada, foram à av paulista e Copacabana fazerem papel de bobos babões.",Aliás só meia dúzia de gatos pingados da classe média alienada foram à av paulista e Copacabana fazerem papel de bobos babões,Alias so meia duzia de gatos pingados da classe media alienada foram a av paulista e Copacabana fazerem papel de bobos baboes,Alias meia duzia gatos pingados classe media alienada av paulista Copacabana fazerem papel bobos baboes,alias meia duzia gatos pingados classe media alienada av paulista copacabana fazerem papel bobos baboes,ali mei duz gat ping cl med alien av paul copacab faz papel bob babo
1.0,incompetenta.,incompetenta.,incompetenta,incompetenta,incompetenta,incompetenta,incompetent
1.0,Alguém explica pra Pamonha que remédio amargo deve ser dado de uma vez e se quiser fazer reforma trabalhista gradual vai terminar seu mandato sem fazer coisa nenhuma e com o filme mais queimado ainda.,Alguém explica pra Pamonha que remédio amargo deve ser dado de uma vez e se quiser fazer reforma trabalhista gradual vai terminar seu mandato sem fazer coisa nenhuma e com o filme mais queimado ainda.,Alguém explica pra Pamonha que remédio amargo deve ser dado de uma vez e se quiser fazer reforma trabalhista gradual vai terminar seu mandato sem fazer coisa nenhuma e com o filme mais queimado ainda,Alguem explica pra Pamonha que remedio amargo deve ser dado de uma vez e se quiser fazer reforma trabalhista gradual vai terminar seu mandato sem fazer coisa nenhuma e com o filme mais queimado ainda,Alguem explica pra Pamonha remedio amargo deve ser dado vez quiser fazer reforma trabalhista gradual vai terminar mandato fazer coisa nenhuma filme queimado ainda,alguem explica pra pamonha remedio amargo deve ser dado vez quiser fazer reforma trabalhista gradual vai terminar mandato fazer coisa nenhuma filme queimado ainda,algu explic pra pamonh remedi amarg dev ser dad vez quis faz reform trabalh grad vai termin mandat faz cois nenhum film queim aind
1.0,Passaremos a amá-la incondicionalmente.,Passaremos a amá-la incondicionalmente.,Passaremos a amála incondicionalmente,Passaremos a amala incondicionalmente,Passaremos amala incondicionalmente,passaremos amala incondicionalmente,pass amal incondic
1.0,"Bem ao contrário do fh, aecin, cunha, temer, queridos de parte da classe média alienada.","Bem ao contrário do fh, aecin, cunha, temer, queridos de parte da classe média alienada.",Bem ao contrário do fh aecin cunha temer queridos de parte da classe média alienada,Bem ao contrario do fh aecin cunha temer queridos de parte da classe media alienada,Bem contrario fh aecin cunha temer queridos parte classe media alienada,bem contrario fh aecin cunha temer queridos parte classe media alienada,bem contrari fh aecin cunh tem quer part cl med alien
1.0,Nada de irregular? kkkk,Nada de irregular? kkkk,Nada de irregular kkkk,Nada de irregular kkkk,Nada irregular kkkk,nada irregular kkkk,nad irregul kkkk
1.0,Os pobres esse ano vão se lascar só do bolsa família são 10 bilhões a menos e a conta de luz está uma maravilha para eles assim como a inflação.,Os pobres esse ano vão se lascar só do bolsa família são 10 bilhões a menos e a conta de luz está uma maravilha para eles assim como a inflação.,Os pobres esse ano vão se lascar só do bolsa família são 10 bilhões a menos e a conta de luz está uma maravilha para eles assim como a inflação,Os pobres esse ano vao se lascar so do bolsa familia sao 10 bilhoes a menos e a conta de luz esta uma maravilha para eles assim como a inflacao,Os pobres ano vao lascar bolsa familia 10 bilhoes menos conta luz maravilha assim inflacao,os pobres ano vao lascar bolsa familia 10 bilhoes menos conta luz maravilha assim inflacao,os pobr ano vao lasc bols famil 10 bilho menos cont luz maravilh assim inflaca
1.0,Reforma da Previdência gradual é para não ser feita..,Reforma da Previdência gradual é para não ser feita..,Reforma da Previdência gradual é para não ser feita,Reforma da Previdencia gradual e para nao ser feita,Reforma Previdencia gradual ser feita,reforma previdencia gradual ser feita,reform previdenc grad ser feit
1.0,Conversa digna de um ser unicelular!!!,Conversa digna de um ser unicelular!!!,Conversa digna de um ser unicelular,Conversa digna de um ser unicelular,Conversa digna ser unicelular,conversa digna ser unicelular,convers dign ser unicelul
1.0,"Afinal, o P TTT tirou o Color apesar de gostar muito dele, né?","Afinal, o P TTT tirou o Color apesar de gostar muito dele, né?",Afinal o P TTT tirou o Color apesar de gostar muito dele né,Afinal o P TTT tirou o Color apesar de gostar muito dele ne,Afinal P TTT tirou Color apesar gostar ne,afinal p ttt tirou color apesar gostar ne,afinal p ttt tir col apes gost ne
1.0,"Presidente Dilma, desapega criatura.","Presidente Dilma, desapega criatura.",Presidente Dilma desapega criatura,Presidente Dilma desapega criatura,Presidente Dilma desapega criatura,presidente dilma desapega criatura,presid dilm desapeg criat
1.0,Avante STF!!!,Avante STF!!!,Avante STF,Avante STF,Avante STF,avante stf,av stf
1.0,bla bla bla bla bla bla dilmentiras,bla bla bla bla bla bla dilmentiras,bla bla bla bla bla bla dilmentiras,bla bla bla bla bla bla dilmentiras,bla bla bla bla bla bla dilmentiras,bla bla bla bla bla bla dilmentiras,bla bla bla bla bla bla dilment
1.0,"Não só porque elá é uma phetheba de carteirinha mas porque ela é incompetente, pela completa falta de visão, pela política externa totalmente fora de eixo, por mentir descaradamente durante a campanha, por usar dinheiro ""suspeito"" nessa mesma campanha, por ter vários ministros envolvidos em escândalos, por pertencer a um partidinho saphado cujos tesoureiros são mais saphados ainda...","Não só porque elá é uma phetheba de carteirinha mas porque ela é incompetente, pela completa falta de visão, pela política externa totalmente fora de eixo, por mentir descaradamente durante a campanha, por usar dinheiro ""suspeito"" nessa mesma campanha, por ter vários ministros envolvidos em escândalos, por pertencer a um partidinho saphado cujos tesoureiros são mais saphados ainda...",Não só porque elá é uma phetheba de carteirinha mas porque ela é incompetente pela completa falta de visão pela política externa totalmente fora de eixo por mentir descaradamente durante a campanha por usar dinheiro suspeito nessa mesma campanha por ter vários ministros envolvidos em escândalos por pertencer a um partidinho saphado cujos tesoureiros são mais saphados ainda,Nao so porque ela e uma phetheba de carteirinha mas porque ela e incompetente pela completa falta de visao pela politica externa totalmente fora de eixo por mentir descaradamente durante a campanha por usar dinheiro suspeito nessa mesma campanha por ter varios ministros envolvidos em escandalos por pertencer a um partidinho saphado cujos tesoureiros sao mais saphados ainda,Nao porque phetheba carteirinha porque incompetente completa falta visao politica externa totalmente eixo mentir descaradamente durante campanha usar dinheiro suspeito nessa mesma campanha ter varios ministros envolvidos escandalos pertencer partidinho saphado cujos tesoureiros saphados ainda,nao porque phetheba carteirinha porque incompetente completa falta visao politica externa totalmente eixo mentir descaradamente durante campanha usar dinheiro suspeito nessa mesma campanha ter varios ministros envolvidos escandalos pertencer partidinho saphado cujos tesoureiros saphados ainda,nao porqu phetheb carte porqu incompet complet falt visa poli extern total eix ment descarad dur campanh us dinh suspeit ness mesm campanh ter vari ministr envolv escandal pertenc partid saph cuj tesour saph aind
1.0,Quer mais ?,Quer mais ?,Quer mais ,Quer mais ,Quer,quer,qu
1.0,"Algum tempo atrás, antes do advento do CD, a gente diria: 'vira o disco dona Dilma'.","Algum tempo atrás, antes do advento do CD, a gente diria: 'vira o disco dona Dilma'.",Algum tempo atrás antes do advento do CD a gente diria vira o disco dona Dilma,Algum tempo atras antes do advento do CD a gente diria vira o disco dona Dilma,Algum tempo atras antes advento CD gente diria vira disco dona Dilma,algum tempo atras antes advento cd gente diria vira disco dona dilma,algum temp atr ant advent cd gent dir vir disc don dilm
1.0,Ó mainha!,Ó mainha!,Ó mainha,O mainha,O mainha,o mainha,o mainh
1.0,Entre esses espinhos o perfume de rosa verde amarela ainda despertará?,Entre esses espinhos o perfume de rosa verde amarela ainda despertará?,Entre esses espinhos o perfume de rosa verde amarela ainda despertará,Entre esses espinhos o perfume de rosa verde amarela ainda despertara,Entre espinhos perfume rosa verde amarela ainda despertara,entre espinhos perfume rosa verde amarela ainda despertara,entr esp perfum ros verd amarel aind despert
1.0,"OBS. Olha a prometida Plantação de Felicidade di mainha p/ bom povo. MG descansar : híbrido Pimental + Pepinal, além do Mandiocaço!","OBS. Olha a prometida Plantação de Felicidade di mainha p/ bom povo. MG descansar : híbrido Pimental + Pepinal, além do Mandiocaço!",OBS Olha a prometida Plantação de Felicidade di mainha p bom povo MG descansar  híbrido Pimental  Pepinal além do Mandiocaço,OBS Olha a prometida Plantacao de Felicidade di mainha p bom povo MG descansar  hibrido Pimental  Pepinal alem do Mandiocaco,OBS Olha prometida Plantacao Felicidade di mainha p bom povo MG descansar hibrido Pimental Pepinal alem Mandiocaco,obs olha prometida plantacao felicidade di mainha p bom povo mg descansar hibrido pimental pepinal alem mandiocaco,ob olh promet plantaca felic di mainh p bom pov mg descans hibr piment pep alem mandiocac
1.0,Golpe é represar aumentos de tarifas e pedalar para reeleger-se.,Golpe é represar aumentos de tarifas e pedalar para reeleger-se.,Golpe é represar aumentos de tarifas e pedalar para reelegerse,Golpe e represar aumentos de tarifas e pedalar para reelegerse,Golpe represar aumentos tarifas pedalar reelegerse,golpe represar aumentos tarifas pedalar reelegerse,golp repres aument tarif pedal reelegers
1.0,Golpe é aparelhar o Estado para anular o efeito das investigações.,Golpe é aparelhar o Estado para anular o efeito das investigações.,Golpe é aparelhar o Estado para anular o efeito das investigações,Golpe e aparelhar o Estado para anular o efeito das investigacoes,Golpe aparelhar Estado anular efeito investigacoes,golpe aparelhar estado anular efeito investigacoes,golp aparelh est anul efeit investigaco
1.0,Golpe é proteger os responsáveis pelos desvios.,Golpe é proteger os responsáveis pelos desvios.,Golpe é proteger os responsáveis pelos desvios,Golpe e proteger os responsaveis pelos desvios,Golpe proteger responsaveis desvios,golpe proteger responsaveis desvios,golp proteg responsa desvi
1.0,Golpe é não assumir a responsabilidade do cargo.,Golpe é não assumir a responsabilidade do cargo.,Golpe é não assumir a responsabilidade do cargo,Golpe e nao assumir a responsabilidade do cargo,Golpe assumir responsabilidade cargo,golpe assumir responsabilidade cargo,golp assum respons carg
1.0,Golpe é fazer acordos inconfessáveis com ditadores de países mais pobres para financiar obras com recursos públicos e lavar os recursos da corrupção.,Golpe é fazer acordos inconfessáveis com ditadores de países mais pobres para financiar obras com recursos públicos e lavar os recursos da corrupção.,Golpe é fazer acordos inconfessáveis com ditadores de países mais pobres para financiar obras com recursos públicos e lavar os recursos da corrupção,Golpe e fazer acordos inconfessaveis com ditadores de paises mais pobres para financiar obras com recursos publicos e lavar os recursos da corrupcao,Golpe fazer acordos inconfessaveis ditadores paises pobres financiar obras recursos publicos lavar recursos corrupcao,golpe fazer acordos inconfessaveis ditadores paises pobres financiar obras recursos publicos lavar recursos corrupcao,golp faz acord inconfessa dit pais pobr financi obr recurs publ lav recurs corrupca
1.0,Golpe é jogar deliberadamente o país na recessão e continuar no poder.,Golpe é jogar deliberadamente o país na recessão e continuar no poder.,Golpe é jogar deliberadamente o país na recessão e continuar no poder,Golpe e jogar deliberadamente o pais na recessao e continuar no poder,Golpe jogar deliberadamente pais recessao continuar poder,golpe jogar deliberadamente pais recessao continuar poder,golp jog deliberad pal recessa continu pod
1.0,Golpe é comprar pelo que não vale e deixar passar.,Golpe é comprar pelo que não vale e deixar passar.,Golpe é comprar pelo que não vale e deixar passar,Golpe e comprar pelo que nao vale e deixar passar,Golpe comprar vale deixar passar,golpe comprar vale deixar passar,golp compr val deix pass
1.0,Ainda estão falando em impeachment?,Ainda estão falando em impeachment?,Ainda estão falando em impeachment,Ainda estao falando em impeachment,Ainda falando impeachment,ainda falando impeachment,aind fal impeachment
1.0,Esperem 2018 e ganhem nas urnas.,Esperem 2018 e ganhem nas urnas.,Esperem 2018 e ganhem nas urnas,Esperem 2018 e ganhem nas urnas,Esperem 2018 ganhem urnas,esperem 2018 ganhem urnas,esp 2018 ganh urn
1.0,"OBS. Olha a prometida Plantação de Felicidade di mainha p/ bom povo. MG descansar : híbrido Pimental + Pepinal, além do Mandiocaço!","OBS. Olha a prometida Plantação de Felicidade di mainha p/ bom povo. MG descansar : híbrido Pimental + Pepinal, além do Mandiocaço!",OBS Olha a prometida Plantação de Felicidade di mainha p bom povo MG descansar  híbrido Pimental  Pepinal além do Mandiocaço,OBS Olha a prometida Plantacao de Felicidade di mainha p bom povo MG descansar  hibrido Pimental  Pepinal alem do Mandiocaco,OBS Olha prometida Plantacao Felicidade di mainha p bom povo MG descansar hibrido Pimental Pepinal alem Mandiocaco,obs olha prometida plantacao felicidade di mainha p bom povo mg descansar hibrido pimental pepinal alem mandiocaco,ob olh promet plantaca felic di mainh p bom pov mg descans hibr piment pep alem mandiocac
1.0,Vira o disco...,Vira o disco...,Vira o disco,Vira o disco,Vira disco,vira disco,vir disc
1.0,"Menos quando seu partido e ela mesma (era uma zé ninguem na época então não dá prá falar) pediram o impeachment do Color, do Itamar e do FHC. Aí, não era golpe.","Menos quando seu partido e ela mesma (era uma zé ninguem na época então não dá prá falar) pediram o impeachment do Color, do Itamar e do FHC. Aí, não era golpe.",Menos quando seu partido e ela mesma era uma zé ninguem na época então não dá prá falar pediram o impeachment do Color do Itamar e do FHC Aí não era golpe,Menos quando seu partido e ela mesma era uma ze ninguem na epoca entao nao da pra falar pediram o impeachment do Color do Itamar e do FHC Ai nao era golpe,Menos partido mesma ze ninguem epoca entao pra falar pediram impeachment Color Itamar FHC Ai golpe,menos partido mesma ze ninguem epoca entao pra falar pediram impeachment color itamar fhc ai golpe,menos part mesm ze ning epoc enta pra fal ped impeachment col itam fhc ai golp
1.0,Está falando de cátedra.,Está falando de cátedra.,Está falando de cátedra,Esta falando de catedra,Esta falando catedra,esta falando catedra,est fal catedr
1.0,De golpe a terrorista entende.,De golpe a terrorista entende.,De golpe a terrorista entende,De golpe a terrorista entende,De golpe terrorista entende,de golpe terrorista entende,de golp terror entend
1.0,"Chove no molhado, nada de novo, aliás não ganhou e nem vai ganhar nada, seu discurso é desconexo e também mal assessorada.","Chove no molhado, nada de novo, aliás não ganhou e nem vai ganhar nada, seu discurso é desconexo e também mal assessorada.",Chove no molhado nada de novo aliás não ganhou e nem vai ganhar nada seu discurso é desconexo e também mal assessorada,Chove no molhado nada de novo alias nao ganhou e nem vai ganhar nada seu discurso e desconexo e tambem mal assessorada,Chove molhado nada novo alias ganhou vai ganhar nada discurso desconexo mal assessorada,chove molhado nada novo alias ganhou vai ganhar nada discurso desconexo mal assessorada,chov molh nad nov ali ganh vai ganh nad discurs desconex mal assessor
1.0,"É da velha guarda do PT, pode ser no máximo representante do seu estado natal.","É da velha guarda do PT, pode ser no máximo representante do seu estado natal.",É da velha guarda do PT pode ser no máximo representante do seu estado natal,E da velha guarda do PT pode ser no maximo representante do seu estado natal,E velha guarda PT pode ser maximo representante estado natal,e velha guarda pt pode ser maximo representante estado natal,e velh guard pt pod ser max represent est natal
1.0,O Brasil precisa de um Estadista e não de uma historiadora.,O Brasil precisa de um Estadista e não de uma historiadora.,O Brasil precisa de um Estadista e não de uma historiadora,O Brasil precisa de um Estadista e nao de uma historiadora,O Brasil precisa Estadista historiadora,o brasil precisa estadista historiadora,o brasil precis estad histori
1.0,Essa senhora apareceu?!,Essa senhora apareceu?!,Essa senhora apareceu,Essa senhora apareceu,Essa senhora apareceu,essa senhora apareceu,ess senh aparec
